"산업분류별","성별","근속년수별",2020,2021,2022,2023,2024
"D.전기, 가스, 증기 및 공기 조절 공급업(35)","남","10년이상",8124,8284,8288,8537,8434
"D.전기, 가스, 증기 및 공기 조절 공급업(35)","여","전근속",4703,4832,4945,5163,5363
"D.전기, 가스, 증기 및 공기 조절 공급업(35)","여","1년미만",2818,2841,2874,2830,2997
"D.전기, 가스, 증기 및 공기 조절 공급업(35)","여","1-3년미만",3290,3352,3583,3775,3975
"D.전기, 가스, 증기 및 공기 조절 공급업(35)","여","3-5년미만",4077,4049,3945,4051,4379
"D.전기, 가스, 증기 및 공기 조절 공급업(35)","여","5-10년미만",4809,4703,4860,5025,4667
"D.전기, 가스, 증기 및 공기 조절 공급업(35)","여","10년이상",6228,6570,6608,6835,6854
"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","전체","전근속",3861,4002,4207,4237,4414
"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","전체","1년미만",2811,2878,3145,3244,3311
"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","전체","1-3년미만",3152,3280,3472,3678,3684
"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","전체","3-5년미만",3431,3609,3631,3918,4067
"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","전체","5-10년미만",3865,3967,4172,4199,4462
"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","전체","10년이상",5291,5315,5663,5751,5963
"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","남","전근속",3999,4137,4340,4367,4547
"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","남","1년미만",2892,2968,3248,3364,3435
"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","남","1-3년미만",3274,3366,3586,3785,3790
"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","남","3-5년미만",3543,3730,3747,4020,4217
"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","남","5-10년미만",3971,4060,4265,4289,4568
"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","남","10년이상",5468,5525,5863,5921,6100
"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","여","전근속",3048,3223,3439,3513,3660
"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","여","1년미만",2270,2388,2404,2597,2573
"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","여","1-3년미만",2480,2775,2796,3101,3111
"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","여","3-5년미만",2879,2967,3054,3364,3289
"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","여","5-10년미만",3297,3426,3683,3723,3902
"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","여","10년이상",4005,4006,4430,4655,5052
"F.건설업(41~42)","전체","전근속",3811,3987,4164,4344,4333
"F.건설업(41~42)","전체","1년미만",2863,3033,3261,3495,3482
"F.건설업(41~42)","전체","1-3년미만",3241,3260,3498,3740,3728
"F.건설업(41~42)","전체","3-5년미만",3437,3603,3713,3909,3938
"F.건설업(41~42)","전체","5-10년미만",4066,4131,4193,4559,4465
"F.건설업(41~42)","전체","10년이상",5622,5909,6024,6638,6445
"F.건설업(41~42)","남","전근속",4007,4193,4390,4565,4538
"F.건설업(41~42)","남","1년미만",2964,3165,3422,3651,3634
"F.건설업(41~42)","남","1-3년미만",3408,3392,3658,3906,3882
"F.건설업(41~42)","남","3-5년미만",3617,3772,3854,4092,4152
"F.건설업(41~42)","남","5-10년미만",4281,4332,4445,4820,4689
"F.건설업(41~42)","남","10년이상",5887,6205,6334,6943,6721
"F.건설업(41~42)","여","전근속",2891,3024,3161,3323,3453
"F.건설업(41~42)","여","1년미만",2325,2373,2534,2707,2735
"F.건설업(41~42)","여","1-3년미만",2507,2684,2817,3005,3059
"F.건설업(41~42)","여","3-5년미만",2739,2907,3088,3191,3133
"F.건설업(41~42)","여","5-10년미만",3202,3313,3293,3484,3675
"F.건설업(41~42)","여","10년이상",4009,4086,4278,4869,5042
"G.도매 및 소매업(45~47)","전체","전근속",3729,3851,4109,4277,4453
"G.도매 및 소매업(45~47)","전체","1년미만",2535,2565,2749,2887,2970
"G.도매 및 소매업(45~47)","전체","1-3년미만",2961,3040,3175,3514,3484
"G.도매 및 소매업(45~47)","전체","3-5년미만",3519,3431,3697,3959,3969
"G.도매 및 소매업(45~47)","전체","5-10년미만",4035,4121,4447,4472,4634
"G.도매 및 소매업(45~47)","전체","10년이상",5585,5673,5916,6181,6386
"G.도매 및 소매업(45~47)","남","전근속",4300,4457,4717,4885,5065
"G.도매 및 소매업(45~47)","남","1년미만",2741,2843,3021,3116,3227
"G.도매 및 소매업(45~47)","남","1-3년미만",3315,3347,3504,3868,3798
"G.도매 및 소매업(45~47)","남","3-5년미만",3982,3841,4098,4354,4274
"G.도매 및 소매업(45~47)","남","5-10년미만",4677,4866,5111,5090,5121
"G.도매 및 소매업(45~47)","남","10년이상",6233,6380,6687,7112,7401
"G.도매 및 소매업(45~47)","여","전근속",2888,2962,3224,3384,3530
"G.도매 및 소매업(45~47)","여","1년미만",2284,2235,2409,2598,2664
"G.도매 및 소매업(45~47)","여","1-3년미만",2514,2646,2773,3052,3073
"G.도매 및 소매업(45~47)","여","3-5년미만",2821,2863,3134,3358,3513
"G.도매 및 소매업(45~47)","여","5-10년미만",3157,3055,3505,3612,3823
"G.도매 및 소매업(45~47)","여","10년이상",4060,4159,4344,4374,4495
"H.운수 및 창고업(49~52)","전체","전근속",3410,3546,3805,3981,4168
"H.운수 및 창고업(49~52)","전체","1년미만",2395,2518,2639,2793,2783
"H.운수 및 창고업(49~52)","전체","1-3년미만",2668,2803,2991,3155,3161
"H.운수 및 창고업(49~52)","전체","3-5년미만",2992,3149,3301,3597,3717
"H.운수 및 창고업(49~52)","전체","5-10년미만",3389,3428,3677,4037,4323
"H.운수 및 창고업(49~52)","전체","10년이상",4851,4829,5125,5402,5783
"H.운수 및 창고업(49~52)","남","전근속",3488,3645,3918,4073,4226
"H.운수 및 창고업(49~52)","남","1년미만",2428,2566,2704,2828,2812
"H.운수 및 창고업(49~52)","남","1-3년미만",2703,2850,3039,3224,3223
"H.운수 및 창고업(49~52)","남","3-5년미만",3006,3212,3381,3673,3795
"H.운수 및 창고업(49~52)","남","5-10년미만",3419,3495,3766,4103,4394
"H.운수 및 창고업(49~52)","남","10년이상",4908,4941,5258,5448,5840
"H.운수 및 창고업(49~52)","여","전근속",3030,3084,3303,3603,3943
"H.운수 및 창고업(49~52)","여","1년미만",2238,2278,2349,2671,2643
"H.운수 및 창고업(49~52)","여","1-3년미만",2543,2631,2796,2903,2933
"H.운수 및 창고업(49~52)","여","3-5년미만",2929,2916,3004,3346,3460
"H.운수 및 창고업(49~52)","여","5-10년미만",3237,3124,3299,3733,4077
"H.운수 및 창고업(49~52)","여","10년이상",4417,4135,4391,5153,5546
"I.숙박 및 음식점업(55~56)","전체","전근속",2294,2357,2477,2578,2680
"I.숙박 및 음식점업(55~56)","전체","1년미만",1854,1821,1983,2090,2117
"I.숙박 및 음식점업(55~56)","전체","1-3년미만",2150,2215,2320,2499,2581
"I.숙박 및 음식점업(55~56)","전체","3-5년미만",2491,2442,2574,2769,2895
"I.숙박 및 음식점업(55~56)","전체","5-10년미만",2860,2816,2969,3117,3202
"I.숙박 및 음식점업(55~56)","전체","10년이상",3589,3603,3720,4237,4148
"I.숙박 및 음식점업(55~56)","남","전근속",2606,2683,2788,2983,3093
"I.숙박 및 음식점업(55~56)","남","1년미만",2056,2017,2152,2395,2476
"I.숙박 및 음식점업(55~56)","남","1-3년미만",2376,2433,2584,2884,2884
"I.숙박 및 음식점업(55~56)","남","3-5년미만",2916,2784,2902,3127,3264
"I.숙박 및 음식점업(55~56)","남","5-10년미만",3231,3263,3405,3555,3728
"I.숙박 및 음식점업(55~56)","남","10년이상",4126,4092,4119,4695,4689
"I.숙박 및 음식점업(55~56)","여","전근속",2073,2134,2266,2302,2407
"I.숙박 및 음식점업(55~56)","여","1년미만",1699,1690,1863,1877,1890
"I.숙박 및 음식점업(55~56)","여","1-3년미만",2004,2071,2161,2269,2380
"I.숙박 및 음식점업(55~56)","여","3-5년미만",2247,2236,2364,2554,2664
"I.숙박 및 음식점업(55~56)","여","5-10년미만",2601,2517,2707,2801,2888
"I.숙박 및 음식점업(55~56)","여","10년이상",2951,3079,3267,3686,3579
"J.정보통신업(58~63)","전체","전근속",4558,4626,4904,5105,5224
"J.정보통신업(58~63)","전체","1년미만",3097,3200,3350,3576,3584
"J.정보통신업(58~63)","전체","1-3년미만",3564,3757,3848,4175,4085
"J.정보통신업(58~63)","전체","3-5년미만",4140,4329,4501,4912,4941
"J.정보통신업(58~63)","전체","5-10년미만",4814,4955,5216,5550,5651
"J.정보통신업(58~63)","전체","10년이상",6631,6527,6917,7675,7557
"J.정보통신업(58~63)","남","전근속",4968,5016,5358,5580,5706
"J.정보통신업(58~63)","남","1년미만",3352,3471,3643,3888,3937
"J.정보통신업(58~63)","남","1-3년미만",3847,4037,4160,4502,4360
"J.정보통신업(58~63)","남","3-5년미만",4424,4642,4788,5267,5338
"J.정보통신업(58~63)","남","5-10년미만",5098,5198,5537,5902,6053
"J.정보통신업(58~63)","남","10년이상",6934,6807,7214,8031,7904
"J.정보통신업(58~63)","여","전근속",3618,3722,3914,4129,4192
"J.정보통신업(58~63)","여","1년미만",2691,2777,2948,3103,3039
"J.정보통신업(58~63)","여","1-3년미만",3052,3228,3332,3634,3621
"J.정보통신업(58~63)","여","3-5년미만",3567,3685,3900,4155,4150
"J.정보통신업(58~63)","여","5-10년미만",4061,4306,4416,4702,4668
"J.정보통신업(58~63)","여","10년이상",5420,5391,5738,6430,6300
"K.금융 및 보험업(64~66)","전체","전근속",6083,6277,6623,7074,7231
"K.금융 및 보험업(64~66)","전체","1년미만",3163,3357,3703,3877,3818
"K.금융 및 보험업(64~66)","전체","1-3년미만",4066,4471,4833,5150,5242
"K.금융 및 보험업(64~66)","전체","3-5년미만",4909,4979,5204,6036,6194
"K.금융 및 보험업(64~66)","전체","5-10년미만",5477,5527,5802,6367,6694
