"서비스 종사자(4)","전체","1년미만",1676,1673,4,44,117.7,180660
"서비스 종사자(4)","전체","1~3년미만",1904,1874,30,361,127.1,253447
"서비스 종사자(4)","전체","3~5년미만",2066,2024,41,497,132.5,162050
"서비스 종사자(4)","전체","5~10년미만",2477,2359,118,1417,146.0,161838
"서비스 종사자(4)","전체","10년이상",3238,2931,308,3692,154.5,163969
"서비스 종사자(4)","남","전경력",3179,2976,203,2434,166.9,208502
"서비스 종사자(4)","남","1년미만",2222,2213,10,117,148.8,37419
"서비스 종사자(4)","남","1~3년미만",2605,2530,74,892,162.1,52597
"서비스 종사자(4)","남","3~5년미만",2999,2875,123,1480,171.7,32349
"서비스 종사자(4)","남","5~10년미만",3447,3191,256,3072,175.6,36776
"서비스 종사자(4)","남","10년이상",4434,3935,499,5984,176.0,49360
"서비스 종사자(4)","여","전경력",1947,1888,59,711,124.9,713463
"서비스 종사자(4)","여","1년미만",1534,1531,2,25,109.6,143241
"서비스 종사자(4)","여","1~3년미만",1720,1702,18,221,117.9,200850
"서비스 종사자(4)","여","3~5년미만",1833,1812,21,252,122.7,129701
"서비스 종사자(4)","여","5~10년미만",2192,2115,78,931,137.3,125062
"서비스 종사자(4)","여","10년이상",2723,2498,225,2705,145.3,114609
"판매 종사자(5)","전체","전경력",3956,3596,360,4321,156.0,559916
"판매 종사자(5)","전체","1년미만",2418,2411,7,88,145.1,61324
"판매 종사자(5)","전체","1~3년미만",2882,2748,134,1610,151.3,106203
"판매 종사자(5)","전체","3~5년미만",3392,3200,192,2305,159.1,66713
"판매 종사자(5)","전체","5~10년미만",3893,3585,308,3694,159.4,115628
"판매 종사자(5)","전체","10년이상",5161,4502,659,7913,158.7,210048
"판매 종사자(5)","남","전경력",4707,4224,483,5794,159.2,334211
"판매 종사자(5)","남","1년미만",2915,2903,12,141,153.8,27785
"판매 종사자(5)","남","1~3년미만",3462,3283,180,2158,158.2,50484
"판매 종사자(5)","남","3~5년미만",3931,3687,244,2927,161.7,37595
"판매 종사자(5)","남","5~10년미만",4377,4014,363,4359,161.1,71889
"판매 종사자(5)","남","10년이상",5836,5039,797,9560,159.0,146459
"판매 종사자(5)","여","전경력",2844,2665,178,2140,151.2,225705
"판매 종사자(5)","여","1년미만",2006,2002,4,44,137.9,33539
"판매 종사자(5)","여","1~3년미만",2357,2264,93,1113,145.0,55719
"판매 종사자(5)","여","3~5년미만",2696,2571,125,1502,155.6,29118
"판매 종사자(5)","여","5~10년미만",3096,2879,217,2601,156.5,43739
"판매 종사자(5)","여","10년이상",3606,3263,343,4119,158.0,63589
"농림어업 숙련 종사자(6)","전체","전경력",3034,2898,136,1628,174.4,25892
"농림어업 숙련 종사자(6)","전체","1년미만",2350,2346,4,53,168.4,3181
"농림어업 숙련 종사자(6)","전체","1~3년미만",2636,2562,74,886,183.3,6133
"농림어업 숙련 종사자(6)","전체","3~5년미만",2854,2758,96,1154,173.6,4129
"농림어업 숙련 종사자(6)","전체","5~10년미만",3258,3071,187,2240,171.9,4970
"농림어업 숙련 종사자(6)","전체","10년이상",3602,3371,230,2763,171.6,7479
"농림어업 숙련 종사자(6)","남","전경력",3130,2983,148,1772,174.7,22587
"농림어업 숙련 종사자(6)","남","1년미만",2424,2419,5,58,169.3,2772
"농림어업 숙련 종사자(6)","남","1~3년미만",2727,2643,84,1005,185.0,5063
"농림어업 숙련 종사자(6)","남","3~5년미만",2921,2818,103,1238,173.1,3493
"농림어업 숙련 종사자(6)","남","5~10년미만",3372,3170,202,2429,173.0,4146
"농림어업 숙련 종사자(6)","남","10년이상",3655,3416,239,2866,171.4,7112
"농림어업 숙련 종사자(6)","여","전경력",2374,2320,54,646,171.8,3306
"농림어업 숙련 종사자(6)","여","1년미만",1852,1850,1,17,162.5,409
"농림어업 숙련 종사자(6)","여","1~3년미만",2204,2177,27,325,175.5,1070
"농림어업 숙련 종사자(6)","여","3~5년미만",2487,2429,58,697,176.5,636
"농림어업 숙련 종사자(6)","여","5~10년미만",2684,2577,107,1287,166.0,823
"농림어업 숙련 종사자(6)","여","10년이상",2563,2500,63,760,176.4,367
"기능원 및 관련 기능 종사자 (7)","전체","전경력",4011,3589,422,5061,166.6,767578
"기능원 및 관련 기능 종사자 (7)","전체","1년미만",2875,2862,14,165,164.0,68516
"기능원 및 관련 기능 종사자 (7)","전체","1~3년미만",3265,3072,193,2315,167.3,133624
"기능원 및 관련 기능 종사자 (7)","전체","3~5년미만",3475,3208,267,3206,165.6,88951
"기능원 및 관련 기능 종사자 (7)","전체","5~10년미만",3904,3495,409,4906,168.6,145275
"기능원 및 관련 기능 종사자 (7)","전체","10년이상",4738,4092,646,7748,166.3,331212
"기능원 및 관련 기능 종사자 (7)","남","전경력",4156,3702,454,5447,167.4,691744
"기능원 및 관련 기능 종사자 (7)","남","1년미만",2957,2943,14,166,165.2,60462
"기능원 및 관련 기능 종사자 (7)","남","1~3년미만",3380,3168,211,2534,167.9,115753
"기능원 및 관련 기능 종사자 (7)","남","3~5년미만",3614,3321,293,3518,166.8,76348
"기능원 및 관련 기능 종사자 (7)","남","5~10년미만",4053,3610,443,5310,169.5,128838
"기능원 및 관련 기능 종사자 (7)","남","10년이상",4854,4180,674,8093,166.9,310343
"기능원 및 관련 기능 종사자 (7)","여","전경력",2691,2563,128,1541,159.4,75834
"기능원 및 관련 기능 종사자 (7)","여","1년미만",2262,2249,13,159,155.0,8054
"기능원 및 관련 기능 종사자 (7)","여","1~3년미만",2520,2445,75,895,163.7,17871
"기능원 및 관련 기능 종사자 (7)","여","3~5년미만",2636,2526,109,1313,158.0,12603
"기능원 및 관련 기능 종사자 (7)","여","5~10년미만",2736,2591,145,1739,161.8,16437
"기능원 및 관련 기능 종사자 (7)","여","10년이상",3002,2785,217,2610,156.5,20869
"장치기계 조작 및 조립 종사자 (8)","전체","전경력",4119,3553,566,6790,176.3,1806383
"장치기계 조작 및 조립 종사자 (8)","전체","1년미만",2847,2826,21,247,171.8,178207
"장치기계 조작 및 조립 종사자 (8)","전체","1~3년미만",3256,3033,223,2674,177.2,343802
"장치기계 조작 및 조립 종사자 (8)","전체","3~5년미만",3449,3212,237,2839,176.1,206747
"장치기계 조작 및 조립 종사자 (8)","전체","5~10년미만",3895,3440,454,5454,176.1,325745
"장치기계 조작 및 조립 종사자 (8)","전체","10년이상",5096,4106,991,11889,177.0,751882
"장치기계 조작 및 조립 종사자 (8)","남","전경력",4232,3642,591,7087,177.1,1573685
"장치기계 조작 및 조립 종사자 (8)","남","1년미만",2899,2878,22,260,172.9,157410
"장치기계 조작 및 조립 종사자 (8)","남","1~3년미만",3330,3101,229,2749,178.2,296526
"장치기계 조작 및 조립 종사자 (8)","남","3~5년미만",3539,3296,243,2916,177.0,178439
"장치기계 조작 및 조립 종사자 (8)","남","5~10년미만",4026,3543,484,5803,176.6,278178
"장치기계 조작 및 조립 종사자 (8)","남","10년이상",5225,4199,1026,12309,177.9,663132
"장치기계 조작 및 조립 종사자 (8)","여","전경력",3353,2954,399,4783,170.5,232698
"장치기계 조작 및 조립 종사자 (8)","여","1년미만",2449,2437,12,148,164.0,20798
"장치기계 조작 및 조립 종사자 (8)","여","1~3년미만",2791,2607,183,2201,170.8,47276
"장치기계 조작 및 조립 종사자 (8)","여","3~5년미만",2883,2687,196,2354,170.1,28308
"장치기계 조작 및 조립 종사자 (8)","여","5~10년미만",3127,2842,284,3411,173.6,47566
"장치기계 조작 및 조립 종사자 (8)","여","10년이상",4135,3405,729,8754,170.2,88750
"단순노무 종사자 (9)","전체","전경력",2593,2463,130,1560,162.9,1025981
