"고용형태","직종별",2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024
"고용형태","직종별",총근로일수 (일),총근로시간 (시간),소정실근로시간 (시간),초과근로시간 (시간),휴일근로시간 (시간),시간당임금총액 (원),시간당정액급여 (원),월임금총액 (천원),월급여액 (천원),정액급여 (천원),초과급여 (천원),전년도 연간특별급여/12개월 (천원),전년도 연간특별급여 (천원)
"전체근로자","전직종",18.7,146.8,139.4,7.4,2.2,25156,22728,3737,3374,3186,188,363,4357
"전체근로자","관리자(1)",19.2,156.5,152.2,4.3,1.2,79155,69111,12199,10666,10476,190,1533,18390
"전체근로자","전문가 및 관련종사자(2)",19.0,150.9,145.0,5.8,1.2,30843,27666,4617,4124,3951,172,494,5925
"전체근로자","사무 종사자(3)",19.1,152.7,147.9,4.8,1.1,28776,25592,4407,3922,3796,126,485,5821
"전체근로자","서비스 종사자(4)",18.6,118.5,114.2,4.3,1.3,15117,14732,1818,1768,1679,89,50,597
"전체근로자","판매 종사자(5)",17.9,136.5,132.6,4.0,1.2,20426,19053,2973,2765,2677,88,208,2501
"전체근로자","농림·어업 숙련 종사자(6)",18.2,143.3,136.9,6.5,3.5,19185,18629,2565,2490,2363,127,75,902
"전체근로자","기능원 및 관련 기능 종사자(7)",17.1,139.8,132.4,7.4,3.0,24920,23375,3361,3129,2944,184,233,2794
"전체근로자","장치·기계 조작 및 조립 종사자(8)",20.0,171.7,151.2,20.6,7.2,22848,19336,3912,3420,2899,521,492,5908
"전체근로자","단순노무 종사자(9)",17.5,134.3,126.7,7.6,2.5,16011,15383,2105,2032,1879,153,73,875
"전체근로자(특수형태포함)","전직종",-,-,-,-,-,-,-,3717,3369,3189,180,348,4180
"전체근로자(특수형태포함)","관리자(1)",-,-,-,-,-,-,-,12198,10665,10475,190,1532,18388
"전체근로자(특수형태포함)","전문가 및 관련종사자(2)",-,-,-,-,-,-,-,4496,4026,3862,164,471,5647
"전체근로자(특수형태포함)","사무 종사자(3)",-,-,-,-,-,-,-,4400,3917,3791,126,483,5801
"전체근로자(특수형태포함)","서비스 종사자(4)",-,-,-,-,-,-,-,1869,1821,1735,86,48,576
"전체근로자(특수형태포함)","판매 종사자(5)",-,-,-,-,-,-,-,3130,2961,2890,71,169,2027
"전체근로자(특수형태포함)","농림·어업 숙련 종사자(6)",-,-,-,-,-,-,-,2565,2490,2363,127,75,902
"전체근로자(특수형태포함)","기능원 및 관련 기능 종사자(7)",-,-,-,-,-,-,-,3358,3126,2943,183,232,2778
"전체근로자(특수형태포함)","장치·기계 조작 및 조립 종사자(8)",-,-,-,-,-,-,-,3945,3476,2979,497,470,5637
"전체근로자(특수형태포함)","단순노무 종사자(9)",-,-,-,-,-,-,-,2135,2064,1916,148,71,846
"정규근로자","전직종",19.7,162.2,153.5,8.7,2.6,27703,24492,4427,3942,3714,228,485,5820
"정규근로자","관리자(1)",19.2,156.7,152.2,4.5,1.3,78067,68359,12052,10570,10372,198,1482,17786
"정규근로자","전문가 및 관련종사자(2)",19.4,158.5,152.1,6.4,1.3,31747,28135,4981,4419,4227,191,563,6755
"정규근로자","사무 종사자(3)",19.3,156.9,151.9,5.1,1.2,30159,26631,4692,4153,4017,136,539,6468
"정규근로자","서비스 종사자(4)",20.7,169.1,161.3,7.8,2.1,16676,15754,2759,2647,2478,170,111,1338
"정규근로자","판매 종사자(5)",19.7,160.0,155.1,4.8,1.3,23901,22010,3790,3497,3388,110,292,3507
"정규근로자","농림·어업 숙련 종사자(6)",20.9,169.2,160.4,8.8,4.7,18298,17248,3066,2923,2727,196,143,1720
"정규근로자","기능원 및 관련 기능 종사자(7)",20.0,166.2,155.1,11.1,4.4,23719,21137,3918,3525,3245,280,393,4717
